Coding System        Code            Condition                                                                       
==========================================================================================
Read                 N05..11         Osteoarthritis                                                                  
Read                 N05..00         Osteoarthritis and allied disorders                                             
Read                 N05z611         Knee osteoarthritis NOS                                                         
Read                 N05zL00         Osteoarthritis NOS, of knee                                                     
Read                 N05z.00         Osteoarthritis NOS                                                              
Read                 N053512         Hip osteoarthitis NOS                                                           
Read                 N050.00         Generalised osteoarthritis - OA                                                 
Read                 N05z511         Hip osteoarthritis NOS                                                          
Read                 N05z400         Osteoarthritis NOS, of the hand                                                 
Read                 N05z600         Osteoarthritis NOS, of the lower leg                                            
Read                 N05z500         Osteoarthritis NOS, pelvic region/thigh                                         
Read                 N05zJ00         Osteoarthritis NOS, of hip                                                      
Read                 N050200         Generalised osteoarthritis of multiple sites                                    
Read                 N05z100         Osteoarthritis NOS, of shoulder region                                          
Read                 N053611         Patellofemoral osteoarthritis                                                   
Read                 N05z412         Thumb osteoarthritis NOS                                                        
Read                 N053700         Localised osteoarthritis, unspecified, of the ankle and foot                    
Read                 N050111         Heberdens' nodes                                                                
Read                 N05z900         Osteoarthritis NOS, of shoulder                                                 
Read                 N05zN00         Osteoarthritis NOS, of ankle                                                    
Read                 N05zz00         Osteoarthritis NOS                                                              
Read                 N051600         Localised, primary osteoarthritis of the lower leg                              
Read                 N05z.11         Joint degeneration                                                              
Read                 N05zB00         Osteoarthritis NOS, of acromioclavicular joint                                  
Read                 N05z712         Foot osteoarthritis NOS                                                         
Read                 N05z700         Osteoarthritis NOS, of ankle and foot                                           
Read                 N05z411         Finger osteoarthritis NOS                                                       
Read                 N05z311         Wrist osteoarthritis NOS                                                        
Read                 N05zS00         Osteoarthritis NOS, of 1st MTP joint                                            
Read                 N050z00         Generalised osteoarthritis NOS                                                  
Read                 N05zE00         Osteoarthritis NOS, of wrist                                                    
Read                 N05z713         Toe osteoarthritis NOS                                                          
Read                 N05z211         Elbow osteoarthritis NOS                                                        
Read                 N053600         Localised osteoarthritis, unspecified, of the lower leg                         
Read                 N051500         Localised, primary osteoarthritis of the pelvic region/thigh                    
Read                 N05zF00         Osteoarthritis NOS, of MCP joint                                                
Read                 N05zH00         Osteoarthritis NOS, of DIP joint of finger                                      
Read                 N051400         Localised, primary osteoarthritis of the hand                                   
Read                 N053500         Localised osteoarthritis, unspecified, pelvic region/thigh                      
Read                 N051700         Localised, primary osteoarthritis of the ankle and foot                         
Read                 N051.00         Localised, primary osteoarthritis                                               
Read                 N05zG00         Osteoarthritis NOS, of PIP joint of finger                                      
Read                 N05z800         Osteoarthritis NOS, other specified site                                        
Read                 N05zC00         Osteoarthritis NOS, of elbow                                                    
Read                 N050700         Heberden's nodes with arthropathy                                               
Read                 N053.00         Localised osteoarthritis, unspecified                                           
Read                 N053100         Localised osteoarthritis, unspecified, of shoulder region                       
Read                 N051100         Localised, primary osteoarthritis of the shoulder region                        
Read                 N052600         Localised, secondary osteoarthritis of the lower leg                            
Read                 N05z300         Osteoarthritis NOS, of the forearm                                              
Read                 N053400         Localised osteoarthritis, unspecified, of the hand                              
Read                 N051E00         Localised, primary osteoarthritis of toe                                        
Read                 N051D00         Localised, primary osteoarthritis of the wrist                                  
