Coding System        Code            Condition                                                                       
==========================================================================================
ICD-10               M05             Seropositive rheumatoid arthritis                                               
ICD-10               M06             Other rheumatoid arthritis                                                      
ICD-10               M07             Psoriatic and enteropathic arthropathies                                        
ICD-10               M12.0           Chronic postrheumatic arthropathy [Jaccoud]                                     
ICD-10               M12.3           Palindromic rheumatism                                                          
ICD-10               M35.3           Polymyalgia rheumatica                                                          
ICD-10               M45             Ankylosing spondylitis                                                          
ICD-10               M46.8           Other specified inflammatory spondylopathies                                    
ICD-10               M46.9           Inflammatory spondylopathy, unspecified                                         
Read                 M1600           Psoriasis spondylitica                                                          
Read                 Nyu1C           [X]Gt arthpth/enz d+o inh d CE                                                  
Read                 2377            O/E - ankyl.spondyl.chest def.                                                  
Read                 388p.           BASDAI ankylosing spond index                                                   
Read                 388p0           BASFI                                                                           
Read                 38QL.           BASMI                                                                           
Read                 N100.           Ankylosing spondylitis                                                          
Read                 N117.           Ankylosing verteb hyperostosis                                                  
Read                 38Va.           PsAID-9 questionnaire                                                           
Read                 M160.           Psoriatic arthropathy                                                           
Read                 M1601           Dist interphal psoriat arthrop                                                  
Read                 M1602           Arthritis mutilans                                                              
Read                 M160z           Psoriatic arthropathy NOS                                                       
Read                 Nyu13           [X]Oth psoriatic arthropathies                                                  
Read                 14G1.           H/O: rheumatoid arthritis                                                       
Read                 38DZ.           Diseas activ scor rheu arthrit                                                  
Read                 38DZ0           DAS 28 joint rheumatoid arthri                                                  
Read                 38Vs.           RAID questionnaire                                                              
Read                 66HB0           Rheumatoid arthritis annul rev                                                  
Read                 7P203           Del rehab rheumatoid arthritis                                                  
Read                 9hR..           Exp rep: rheumtd arth qual ind                                                  
Read                 9hR0.           Ex rhm art qual ind: pt unsuit                                                  
Read                 9hR1.           Ex rheum arth qua ind: inf dis                                                  
Read                 9mM..           RA monitoring invitation                                                        
Read                 9mM0.           RA monitor invitation 1st lett                                                  
Read                 9mM1.           RA monitor invitation 2nd lett                                                  
Read                 9mM2.           RA monitor invitation 3rd lett                                                  
Read                 9mM3.           RA monitoring verbal invitatin                                                  
Read                 9mM4.           RA monitor telephone invitatin                                                  
Read                 F3712           Polyneuropathy+rheumatoid arth                                                  
