Coding System        Code            Condition                                                                       
==========================================================================================
Read                 N11B2           Multiple-level thoracic spondylosis with radiculopathy                          
Read                 X703A           Osteoarthritis of spinal facet joint                                            
Read                 Xa6sQ           Thoracic facet joint pain                                                       
Read                 Xa6sP           Cervical facet joint pain                                                       
Read                 Xa0yD           Lumbar facet joint pain                                                         
Read                 X75s4           Facet joint pain                                                                
Read                 N094L           Sacroiliac joint pain                                                           
Read                 N11..           (Spondyl & allied dis) or (arthr spine) or (osteoarth spine)                    
Read                 N110.           Cerv spondylos (& [no myelopath]) or (osteoarthr cerv spine)                    
Read                 N1100           Single-level cervical spondylosis without myelopathy                            
Read                 N1101           Two-level cervical spondylosis without myelopathy                               
Read                 N1102           Multiple-level cervical spondylosis without myelopathy                          
Read                 N1110           Single-level cervical spondylosis with myelopathy                               
Read                 N1111           Two-level cervical spondylosis with myelopathy                                  
Read                 N1112           Multiple-level cervical spondylosis with myelopathy                             
Read                 N112.           Thoracic spondylosis (& [without myelopathy])                                   
Read                 N1120           Single-level thoracic spondylosis without myelopathy                            
Read                 N1121           Two-level thoracic spondylosis without myelopathy                               
Read                 N1122           Multiple-level thoracic spondylosis without myelopathy                          
Read                 N113.           Thoracic spondylosis with myelopathy                                            
Read                 N1130           Single-level thoracic spondylosis with myelopathy                               
Read                 N1131           Two-level thoracic spondylosis with myelopathy                                  
Read                 N1132           Multiple-level thoracic spondylosis with myelopathy                             
Read                 N114.           (Lumbosacr spondylos [& no myelopath]) or (degen lumb spine)                    
Read                 N1140           Single-level lumbosacral spondylosis without myelopathy                         
Read                 N1141           Two-level lumbosacral spondylosis without myelopathy                            
Read                 N1142           Multiple-level lumbosacral spondylosis without myelopathy                       
Read                 N115.           Lumbosacral spondylosis with myelopathy                                         
Read                 N1150           Single-level lumbosacral spondylosis with myelopathy                            
Read                 N1151           Two-level lumbosacral spondylosis with myelopathy                               
Read                 N1152           Multiple-level lumbosacral spondylosis with myelopathy                          
Read                 N119.           Cervical spondylosis with radiculopathy                                         
Read                 N1190           Single-level cervical spondylosis with radiculopathy                            
Read                 N1191           Two-level cervical spondylosis with radiculopathy                               
Read                 N1192           Multiple-level cervical spondylosis with radiculopathy                          
Read                 N11A.           Cervical spondylosis with vascular compression                                  
Read                 N11B.           Thoracic spondylosis with radiculopathy                                         
Read                 N11B0           Single-level thoracic spondylosis with radiculopathy                            
Read                 N11B1           Two-level thoracic spondylosis with radiculopathy                               
Read                 N11C.           Lumbosacral spondylosis with radiculopathy                                      
Read                 N11C0           Single-level lumbosacral spondylosis with radiculopathy                         
Read                 N11C1           Two-level lumbosacral spondylosis with radiculopathy                            
Read                 N11C2           Multiple-level lumbosacral spondylosis with radiculopathy                       
Read                 N11y.           Other spondyloses and allied disorders                                          
Read                 N11z.           (Spondylosis NOS) or (osteoarthritis spine)                                     
Read                 N11z0           Spondylosis without myelopathy, NOS                                             
Read                 N11z1           Spondylosis with myelopathy, NOS                                                
Read                 N11zz           Spondylosis NOS                                                                 
Read                 Nyu23           [X]Other post-traumatic coxarthrosis                                            
Read                 Nyu62           [X]Other spondylosis with myelopathy                                            
Read                 Nyu63           [X]Other spondylosis with radiculopathy                                         
Read                 Nyu64           [X]Other spondylosis                                                            
Read                 X7039           Spondylosis                                                                     
Read                 X703j           Cervical spondylosis                                                            
Read                 X703k           Lumbar spondylosis                                                              
Read                 X70Cw           Thoracic spondylosis                                                            
Read                 X70Cy           Degenerative arthropathy of spinal facet joint                                  
Read                 XE1Et           Spondylosis and allied disorders                                                
Read                 XE1Eu           Cervical spondylosis without myelopathy                                         
Read                 XE1Ev           Cervical spondylosis with myelopathy                                            
Read                 XE1Ew           Thoracic spondylosis without myelopathy                                         
Read                 XE1Ex           Lumbosacral spondylosis without myelopathy                                      
Read                 XE1Ey           Spondylosis NOS                                                                 
Read                 XE1HM           (Spond:[cerv][lum][sac]) or (arth spine) or (osteoart spine)                    
Read                 XaE3C           Lumbosacral spondylosis                                                         
Read                 Y5903           Cervical spond.with myelopathy                                                  
